_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2015,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2015,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2015,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2015,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2015,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2015,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2015,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2015,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2015,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2015,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2015,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2015,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2015,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2015,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2015,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2015,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2015,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2015,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2015,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
20,2015,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
21,2015,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
22,2015,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
23,2015,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
24,2015,G,5,59,,ONU,ORGANIZACIÓN NACIONES UNIDAS
25,2015,G,7,71,,ENTES PRIV.FINAN.,ENTES PRIVADOS FINANCIEROS
26,2015,G,7,72,,ENTES PRIV.NO FINAN.,ENTES PRIVADOS NO FINANCIEROS
27,2015,G,9,91,,RECURSOS PROPIOS,RECURSOS PROPIOS
28,2015,G,1,11,11099,FSE P. OPERAT. ANTER 2007,FSE PROG. OPERATIVOS ANTERIORES 2007
29,2015,G,1,11,11101,PROG.OP. FSE 2007-2013,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
30,2015,G,1,11,11201,PROG.OP. FSE 2014-2020,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
31,2015,G,1,12,12101,FEAGA GARANTÍA,FEAGA  GARANTÍA
32,2015,G,1,12,12102,FEADER 2007-2013,FEADER
